"filename", "language", "Markdown", "JSON", "YAML", "Go Checksum File", "Go", "JavaScript", "HTML", "Go Module File", "TypeScript", "TypeScript JSX", "SCSS", "Ignore", "JSON with Comments", "Properties", "XML", "comment", "blank", "total"
"/home/server/NovexPanel/frontend/src/Pages/Domains/DomainsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 1, 76
"/home/server/NovexPanel/frontend/src/Pages/Domains/DomainsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 9, 85
"/home/server/NovexPanel/frontend/src/Pages/Home/Data.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 6, 122
"/home/server/NovexPanel/frontend/src/Pages/Home/Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1155, 0, 0, 0, 0, 2, 224, 1381
"/home/server/NovexPanel/frontend/src/Pages/Home/HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 517, 0, 0, 0, 0, 0, 1, 36, 554
"/home/server/NovexPanel/frontend/src/Pages/LeftPanel/LeftPanel.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 16, 128
"/home/server/NovexPanel/frontend/src/Pages/LeftPanel/LeftPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 12, 137
"/home/server/NovexPanel/frontend/src/Pages/LeftPanel/tabs.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 40
"/home/server/NovexPanel/frontend/src/Pages/Network/NetworkPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 77
"/home/server/NovexPanel/frontend/src/Pages/Network/NetworkPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 13, 121
